tw,ch,en
撤回問題,撤回问题,withdraw the question
給予……證據分量,给予……证据分量,give weight to ... evidence
事實的推論,事实的推论,inference of fact
強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
事實昭顯,事实昭显,res ipsa loquitur
關於法院慣例的規則,关于法院惯例的规则,rule of practice
技術上違反法律,技术上违反法律,technical breach of the law
准予延訊,准予延讯,leave to adjourn
極有需要的情況,极有需要的情况,compelling circumstances
合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
故意及蓄意,故意及蓄意,wilful and intentional
法官對陪審團的結案指引,法官对陪审团的结案指引,summing up direction
串謀促致流產,串谋促致流产,conspiracy to procure a miscarriage
刑期起點,刑期起点,starting point of sentence
共同意圖,共同意图,common intention
有充分理由的抱怨,有充分理由的抱怨,justifiable sense of grievance
污點證人,污点证人,tainted witness
管有爆炸品,管有爆炸品,possession of explosive substance
有效的判刑選擇,有效的判刑选择,valid sentencing option
破壞誠信的行為,破坏诚信的行为,act in breach of trust
常規與程序,常规与程序,practice and procedure
全面和公平的審訊,全面和公平的审讯,full and fair trial
不小心騎踏單車,不小心骑踏单车,careless cycling
懲罰性刑罰,惩罚性刑罚,punitive sentence
關於法院慣例的規則,关于法院惯例的规则,rule of practice
歸還財物令,归还财物令,order for the restitution of property
於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
案例須予區分,案例须予区分,case distinguished
履責失當,履责失当,misfeasance in the performance of a duty
虛耗訟費命令,虚耗讼费命令,wasted costs orders
以不在犯罪現場為辯護理由,以不在犯罪现场为辩护理由,defence of alibi
享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
未經使用的材料,未经使用的材料,unused material
實務指示,实务指示,practice direction
法官的紀錄,法官的纪录,judge's notes
易受傷害證人,易受伤害证人,vulnerable witness
證人的可信程度,证人的可信程度,credibility of witness
管有炸藥,管有炸药,possession of explosive
監察名單,监察名单,watch list
宣布判決……的理由,宣布判决……的理由,handing down reasons for judgment
文件及資料的披露,文件及资料的披露,discovery
申請保釋等候上訴,申请保释等候上诉,application for bail pending appeal
落實串謀,落实串谋,in furtherance of the conspiracy
完備上訴理由書,完备上诉理由书,perfected grounds of appeal
強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
法例的釋疑,法例的释疑,construction ... of laws
判被告人繳付的訟費,判被告人缴付的讼费,costs awarded against the defendant
交替程序,交替程序,alternative procedure
具欺詐成分的失實陳述,具欺诈成分的失实陈述,fraudulent misrepresentation
普遍程度,普遍程度,prevalence
行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
瑣屑無聊或無理纏擾,琐屑无聊或无理缠扰,frivolous or vexatious
可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
判刑慣例,判刑惯例,sentencing practice
干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
輔助性或脗合性的證供,辅助性或脗合性的证供,supporting or corroborative evidence
干預裁判官在這方面所作的裁斷,干预裁判官在这方面所作的裁断,interfere with the findings of the magistrate on this point
事主,事主,complainant
法醫科醫生,法医科医生,forensic pathologist
單一犯罪者,单一犯罪者,sole perpetrator
串謀者,串谋者,conspirator
無聽取答辯,无听取答辩,no plea ... taken
在道路上作出狂暴行為,在道路上作出狂暴行为,road rage
質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
公正公開的聆訊,公正公开的聆讯,fair and public hearing
不容爭辯的證據,不容争辩的证据,indisputable evidence
免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
有力……的推定,有力……的推定,strong ... presumption
誠實地相信,诚实地相信,belief ... honestly held
被性騷擾,被性骚扰,sexually molested
違反誠信的行為,违反诚信的行为,act in breach of trust
附帶事項,附带事项,collateral issue
阻撓在正當執行職務的……警務人員,阻挠在正当执行职务的……警务人员,obstructs ... police officer in the due execution of his duty
原則上錯誤,原则上错误,wrong in principle
不可抗拒之推論,不可抗拒之推论,irresistible inference
證供謄本,证供誊本,transcript of evidence
可使罪責減輕的……的情況,可使罪责减轻的……的情况,extenuating circumstances
導致入罪部分,导致入罪部分,incriminating part
明顯失職行為,明显失职行为,flagrant and incompetent conduct
刑事罪責,刑事罪责,criminal culpability
不必自我指證的原則,不必自我指证的原则,principle against self-incrimination
無律師代表[親自應訊],无律师代表[亲自应讯],in person
削減可扣減的刑期,削减可扣减的刑期,reduced discount
牽連罪責部分,牵连罪责部分,incriminating part
程序保障,程序保障,procedural safeguards
積犯,积犯,recidivist
違反誠信的罪行,违反诚信的罪行,offence arising from a breach of trust
暫准訟費命令,暂准讼费命令,costs order nisi
不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
充分的分量,充分的分量,sufficient weight
酌情性終身監禁刑罰,酌情性终身监禁刑罚,discretionary life sentence
裁定罪名不成立,裁定罪名不成立,acquittal
雙重刑罰,双重刑罚,double penalty
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
精神狀況,精神状况,mental condition
在未經宣誓下所提供的證據,在未经宣誓下所提供的证据,unsworn evidence
質疑,质疑,impeach
各方出席的聆訊,各方出席的聆讯,inter-partes hearing
合理審慎者的標準,合理审慎者的标准,the standard of the reasonable prudent man
直接口頭證據,直接口头证据,direct oral evidence
要求控方全面證案,要求控方全面证案,put the prosecution to straight proof
法律論點,法律论点,legal argument
法院的……指示,法院的……指示,direction by court
控方的證據,控方的证据,prosecution evidence
部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
明顯辯護失職的評定標準,明显辩护失职的评定标准,test of flagrantly incompetent advocacy
事實情節複雜,事实情节复杂,factual complexity
擬檢控通知書,拟检控通知书,notice of intention to prosecute
中斷的審訊,中断的审讯,aborted trial
比重的問題,比重的问题,matter of weight
一切合理步驟,一切合理步骤,all reasonable steps
主觀的認知,主观的认知,subjective knowledge
會面視像紀錄,会面视像纪录,video recorded interview
承認罪責,承认罪责,inculpatory admission
同期執行的命令,同期执行的命令,concurrent order
單方面申請,单方面申请,ex parte application
導致入罪部分,导致入罪部分,incriminating part
自招嫌疑,自招嫌疑,brought suspicion upon himself
刑事罪責程度,刑事罪责程度,degree of criminal culpability
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
虛假地作出申述,虚假地作出申述,falsely representing
法定的免責辯護理由,法定的免责辩护理由,statutory defence
認罪的答辯,认罪的答辩,plea of guilty
抗辯,抗辩,defence
法律上的細節,法律上的细节,legal technicality
犯罪傾向指引,犯罪倾向指引,propensity direction
確當辯解,确当辩解,just excuse
受官方看管,受官方看管,in official custody
越級上訴,越级上诉,leapfrog appeal
犯罪行為,犯罪行为,actus reus
無根據的問題,无根据的问题,fishing expedition
不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
整個,整个,in toto
已獲證實的案情,已获证实的案情,proven facts
因果連鎖,因果连锁,chain of causation
故意及蓄意,故意及蓄意,wilful and intentional
加重刑罰因素,加重刑罚因素,aggravating feature
嚴格法律責任罪行,严格法律责任罪行,offence of strict liability
